id,counter,fecha_registro,fecha_nacimiento,tipo,volumen
2023-05-16-000001,1,2023-08-18,2023-05-16,R,80.0
2023-05-17-000002,2,2023-08-18,2023-05-17,R,100.0
2023-05-17-000003,3,2023-08-18,2023-05-17,R,40.0
2023-05-18-000004,4,2023-08-18,2023-05-18,R,100.0
2023-05-18-000005,5,2023-08-18,2023-05-18,R,90.0
2023-05-19-000006,6,2023-08-18,2023-05-19,R,70.0
2023-05-19-000007,7,2023-08-18,2023-05-19,R,50.0
2023-05-20-000008,8,2023-08-18,2023-05-20,R,100.0
2023-05-20-000009,9,2023-08-18,2023-05-20,R,100.0
2023-05-21-000010,10,2023-08-18,2023-05-21,R,100.0
2023-05-21-000011,11,2023-08-18,2023-05-21,R,100.0
2023-05-21-000012,12,2023-08-18,2023-05-21,R,100.0
2023-05-22-000013,13,2023-08-18,2023-05-22,R,100.0
2023-05-22-000014,14,2023-08-18,2023-05-22,R,100.0
2023-05-23-000015,15,2023-08-18,2023-05-23,R,100.0
2023-05-23-000016,16,2023-08-18,2023-05-23,R,100.0
2023-05-23-000017,17,2023-08-18,2023-05-23,R,100.0
2023-05-24-000018,18,2023-08-18,2023-05-24,R,100.0
2023-05-24-000019,19,2023-08-18,2023-05-24,R,100.0
2023-05-24-000020,20,2023-08-18,2023-05-24,R,100.0
2023-05-25-000021,21,2023-08-18,2023-05-25,R,100.0
2023-05-25-000022,22,2023-08-18,2023-05-25,R,100.0
2023-05-26-000023,23,2023-08-18,2023-05-26,R,100.0
2023-05-27-000024,24,2023-08-18,2023-05-27,R,100.0
2023-05-28-000025,25,2023-08-18,2023-05-28,R,100.0
2023-05-29-000026,26,2023-08-18,2023-05-29,R,100.0
2023-05-29-000027,27,2023-08-18,2023-05-29,R,100.0
2023-05-30-000028,28,2023-08-18,2023-05-30,R,100.0
2023-05-30-000029,29,2023-08-18,2023-05-30,R,100.0
2023-05-30-000030,30,2023-08-18,2023-05-30,R,100.0
2023-05-30-000031,31,2023-08-18,2023-05-30,E,100.0
2023-05-30-000032,32,2023-08-18,2023-05-30,E,100.0
2023-05-31-000033,33,2023-08-18,2023-05-31,R,100.0
2023-05-31-000034,34,2023-08-18,2023-05-31,R,100.0
2023-05-31-000035,35,2023-08-18,2023-05-31,R,100.0
2023-05-31-000036,36,2023-08-18,2023-05-31,E,100.0
2023-05-31-000037,37,2023-08-18,2023-05-31,E,100.0
2023-06-01-000038,38,2023-08-18,2023-06-01,R,100.0
2023-06-01-000039,39,2023-08-18,2023-06-01,R,100.0
2023-06-01-000040,40,2023-08-18,2023-06-01,R,100.0
2023-06-01-000041,41,2023-08-18,2023-06-01,E,100.0
2023-06-01-000042,42,2023-08-18,2023-06-01,E,100.0
2023-06-01-000043,43,2023-08-18,2023-06-01,E,100.0
2023-06-01-000044,44,2023-08-18,2023-06-01,E,100.0
2023-06-02-000045,45,2023-08-18,2023-06-02,R,100.0
2023-06-02-000046,46,2023-08-18,2023-06-02,R,100.0
2023-06-02-000047,47,2023-08-18,2023-06-02,R,100.0
2023-06-02-000048,48,2023-08-18,2023-06-02,E,100.0
2023-06-02-000049,49,2023-08-18,2023-06-02,E,100.0
2023-06-02-000050,50,2023-08-18,2023-06-02,E,100.0
